,movie,imdb_rating,meta_score,runtime,gross,n_imdb
0, Star Wars: The Force Awakens ,7.9,80.0,138,936.66,79.0
1, Black Panther ,7.3,88.0,134,700.06,73.0
2, Avengers: Infinity War ,8.5,68.0,149,678.82,85.0
3, Jurassic World ,7.0,59.0,124,652.27,70.0
4, The Avengers ,8.0,69.0,143,623.28,80.0
5, Star Wars: The Last Jedi ,7.0,84.0,152,620.18,70.0
6, Incredibles 2 ,7.6,80.0,118,608.58,76.0
7, Rogue One ,7.8,65.0,133,532.18,78.0
8, Beauty and the Beast ,7.1,65.0,129,504.01,71.0
9, Finding Dory ,7.3,77.0,97,486.3,73.0
10, Avengers: Age of Ultron ,7.3,66.0,141,459.01,73.0
11, The Dark Knight Rises ,8.4,78.0,164,448.14,84.0
12, The Hunger Games: Catching Fire ,7.5,76.0,146,424.67,75.0
13, Jurassic World: Fallen Kingdom ,6.2,51.0,128,417.72,62.0
14, Toy Story 3 ,8.3,92.0,103,415.0,83.0
15, Wonder Woman ,7.4,76.0,141,412.56,74.0
16, Iron Man Three ,7.2,62.0,130,409.01,72.0
17, Captain America: Civil War ,7.8,75.0,147,408.08,78.0
18, The Hunger Games ,7.2,68.0,142,408.01,72.0
19, Jumanji ,6.9,58.0,119,404.52,69.0
20, Frozen ,7.4,75.0,102,400.74,74.0
21, Guardians of the Galaxy Vol,7.6,67.0,136,389.81,76.0
22, Harry Potter and the Deathly Hallows: Part 2 ,8.1,85.0,130,381.01,81.0
23, The Secret Life of Pets ,6.5,61.0,87,368.38,65.0
24, Despicable Me 2 ,7.3,62.0,98,368.06,73.0
25, The Jungle Book ,7.4,77.0,106,364.0,74.0
26, Deadpool ,8.0,65.0,108,363.07,80.0
27, Inside Out ,8.1,94.0,95,356.46,81.0
28, Fast & Furious 7 ,7.2,67.0,137,353.01,72.0
29, Transformers: Dark of the Moon ,6.2,42.0,154,352.39,62.0
30, American Sniper ,7.3,72.0,133,350.13,73.0
31, Zootropolis ,8.0,78.0,108,341.27,80.0
32, The Hunger Games: Mockingjay - Part 1 ,6.6,64.0,123,337.14,66.0
33, Minions ,6.4,56.0,91,336.05,64.0
34, Aquaman ,7.0,55.0,143,335.06,70.0
35, Spider-Man: Homecoming ,7.4,73.0,133,334.2,74.0
36, Alice in Wonderland ,6.4,53.0,108,334.19,64.0
37, Guardians of the Galaxy ,8.0,76.0,121,333.18,80.0
38, Batman v Superman: Dawn of Justice ,6.5,44.0,151,330.36,65.0
39, It ,7.3,69.0,135,327.48,73.0
40, Suicide Squad ,6.0,40.0,123,325.1,60.0
41, Deadpool 2 ,7.7,66.0,119,324.59,77.0
42, Thor: Ragnarok ,7.9,74.0,130,315.06,79.0
43, Iron Man 2 ,7.0,57.0,124,312.43,70.0
44, Skyfall ,7.7,81.0,143,304.36,77.0
45, The Hobbit: An Unexpected Journey ,7.8,58.0,169,303.0,78.0
46, The Twilight Saga: Eclipse ,5.0,58.0,124,300.53,50.0
47, Harry Potter and the Deathly Hallows: Part 1 ,7.7,65.0,146,295.98,77.0
48, Inception ,8.8,74.0,148,292.58,88.0
49, The Twilight Saga: Breaking Dawn - Part 2 ,5.5,52.0,115,292.3,55.0
50, Man of Steel ,7.0,55.0,143,291.05,70.0
51, The Hunger Games: Mockingjay - Part 2 ,6.5,65.0,137,281.72,65.0
52, The Twilight Saga: Breaking Dawn - Part 1 ,4.9,45.0,117,281.29,49.0
53, Gravity ,7.7,96.0,91,274.09,77.0
54, The Grinch ,6.3,51.0,85,270.62,63.0
55, Sing ,7.1,59.0,108,270.4,71.0
56, Monsters University ,7.3,65.0,104,268.49,73.0
57, Despicable Me 3 ,6.3,49.0,89,264.62,63.0
58, The Amazing Spider-Man ,6.9,66.0,136,262.03,69.0
59, Captain America: The Winter Soldier ,7.7,70.0,136,259.77,77.0
60, The Hobbit: The Desolation of Smaug ,7.8,66.0,161,258.37,78.0
61, The Lego Movie ,7.7,83.0,100,257.76,77.0
62, The Hobbit: The Battle of the Five Armies ,7.4,59.0,144,255.12,74.0
63, The Hangover Part II ,6.4,44.0,102,254.46,64.0
64, Despicable Me ,7.6,72.0,95,251.51,76.0
65, Moana ,7.6,81.0,107,248.76,76.0
66, Transformers: Age of Extinction ,5.6,32.0,165,245.44,56.0
67, Maleficent ,7.0,56.0,97,241.41,70.0
68, Pirates of the Caribbean: On Stranger Tides ,6.6,45.0,137,241.06,66.0
69, Furious 6 ,7.1,61.0,130,238.68,71.0
70, Shrek Forever After ,6.3,58.0,93,238.37,63.0
71, Brave ,7.1,69.0,93,237.28,71.0
72, Oz the Great and Powerful ,6.3,44.0,130,234.91,63.0
73, Fantastic Beasts and Where to Find Them ,7.3,66.0,132,234.04,73.0
74, X-Men: Days of Future Past ,8.0,75.0,132,233.92,80.0
75, Doctor Strange ,7.5,72.0,115,232.64,75.0
76, Justice League ,6.4,45.0,120,229.02,64.0
77, Star Trek Into Darkness ,7.7,72.0,132,228.78,77.0
78, The Martian ,8.0,80.0,144,228.43,80.0
79, Logan Noir ,8.1,77.0,137,226.28,81.0
80, Fast & Furious 8 ,6.7,56.0,136,226.01,67.0
81, Big Hero 6 ,7.8,74.0,102,222.53,78.0
82, Mission: Impossible - Fallout ,7.7,86.0,147,220.16,77.0
83, Ted ,6.9,62.0,106,218.82,69.0
84, How to Train Your Dragon ,8.1,75.0,98,217.58,81.0
85, Ant-Man and the Wasp ,7.1,70.0,118,216.65,71.0
86, Bohemian Rhapsody ,8.0,49.0,134,216.43,80.0
87, Madagascar 3: Europe's Most Wanted ,6.8,60.0,93,216.39,68.0
88, A Star Is Born ,7.7,88.0,136,215.29,77.0
89, The Lorax ,6.4,46.0,86,214.03,64.0
90, Solo: A Star Wars Story ,6.9,62.0,135,213.77,69.0
91, Venom ,6.7,35.0,112,213.52,67.0
92, Fast Five ,7.3,66.0,130,209.84,73.0
93, Coco ,8.4,81.0,105,209.73,84.0
94, Mission: Impossible - Ghost Protocol ,7.4,73.0,132,209.4,74.0
95, Dawn of the Planet of the Apes ,7.6,79.0,130,208.55,76.0
96, Thor: The Dark World ,6.9,54.0,112,206.36,69.0
97, The Amazing Spider-Man 2 ,6.6,53.0,142,202.85,66.0
98, World War Z ,7.0,63.0,116,202.36,70.0
99, Cinderella ,6.9,67.0,105,201.15,69.0
100, Ralph Breaks the Internet: Wreck-It Ralph 2 ,7.1,71.0,112,201.09,71.0
101, Tangled ,7.7,71.0,100,200.82,77.0
102, Godzilla ,6.4,62.0,123,200.68,64.0
103, Spectre ,6.8,60.0,148,200.07,68.0
104, Mission: Impossible - Rogue Nation ,7.4,75.0,131,195.04,74.0
105, 22 Jump Street ,7.0,71.0,112,191.72,70.0
106, Cars 2 ,6.1,57.0,106,191.45,61.0
107, Teenage Mutant Ninja Turtles ,5.8,31.0,101,191.2,58.0
108, Spider-Man: Into the Spider-Verse ,8.4,87.0,117,190.24,84.0
109, Wreck-It Ralph ,7.7,72.0,101,189.42,77.0
110, Dunkirk ,7.9,94.0,106,188.37,79.0
111, A Quiet Place ,7.5,82.0,90,188.02,75.0
112, Interstellar ,8.6,74.0,169,188.02,86.0
113, The Croods ,7.2,55.0,98,187.17,72.0
114, Sherlock Holmes: A Game of Shadows ,7.5,48.0,129,186.85,75.0
115, Pitch Perfect 2 ,6.4,63.0,115,184.3,64.0
116, The Revenant ,8.0,76.0,156,183.64,80.0
117, Lincoln ,7.3,86.0,150,182.21,73.0
118, Thor ,7.0,57.0,115,181.03,70.0
119, Ant-Man ,7.3,64.0,117,180.2,73.0
120, Men in Black 3 ,6.8,58.0,106,179.02,68.0
